fips,state,adult_obesity_pct,food_environment_index,exercise_access_pct,excess_drinking_pct,uninsured_num,uninsured_pct,primary_care_phys_rate,prevent_hospital_rate,income_inequal_80pct,income_inequal_20pct,income_inequal_ratio,early_death_count,early_death_years_lost,mental_health_ratio,mental_health_rate,mental_health_num,dentists_ratio,dentists_num,dentists_rate,unemployment_num,unemployment_pct,poor_physical_health_avg_days,housing_inad_facil,housing_overcrowding,longitude,latitude,population,median_income
01,Alabama,40.6,5.4,61.333795357,14.477525956,469887.0,11.693350508,63.65235,3280.0,122347.0,23471.0,5.212687998,98140.0,11415.734833,740:1,135.09263,6855.0,2016:1,2517.0,49.60294,59363.0,2.5967657552,3.9347354029,0.8564976,1.6650736959,-86.828774721394,32.788819616484496,4893186,52035
02,Alaska,33.4,7.0,78.230166446,19.610502279,80538.0,13.18429828,96.76895,1866.0,162282.0,38990.0,4.1621441395,9838.0,9414.7756576,138:1,722.75394,5302.0,954:1,769.0,104.82795,14401.0,4.0361094607,3.5644542368,4.2225923386,6.4759478789,-152.2116141720163,64.19864538501105,736990,77790
04,Arizona,31.8,6.9,85.470087263,18.807308049,758331.0,13.132043595,66.44846,1962.0,140275.0,31873.0,4.4010604587,104430.0,8865.4916112,549:1,182.01713999999998,13395.0,1509:1,4876.0,66.25723,138129.0,3.8208225132,3.5331067353,1.1717730373,4.4073419761,-111.6646387198874,34.29321367816788,7174064,61529
05,Arkansas,39.3,4.7,63.604208368,15.417446428,268334.0,11.055859419,67.6495,3015.0,113129.0,23551.0,4.8035752197,56311.0,10823.13085,382:1,261.88282000000004,7976.0,2044:1,1490.0,48.92244,45420.0,3.3168464692,4.3329235814,1.17423935,2.7764844581,-92.43906391577143,34.899868473678055,3011873,49475
06,California,27.8,8.6,94.229806433,17.245676922,2640001.0,8.066460644,81.09519999999999,2153.0,187661.0,36359.0,5.1613355703,420722.0,6373.1945492,222:1,449.82311,175563.0,1076:1,36261.0,92.90702,811077.0,4.2129547748,3.1163598375,1.3041555386,8.2098035467,-119.6105595814264,37.24595489594675,39346023,78672
08,Colorado,25.1,8.5,90.076127775,21.412784707,452402.0,9.3114804036,82.86206,1606.0,168412.0,38376.0,4.3884719616,64432.0,6993.7940369,219:1,456.52975999999995,26661.0,1161:1,5030.0,86.13123,97095.0,3.0336234014,3.1092803703,0.8524375409,2.538598297,-105.547815914705,38.998546885358095,5684926,75231
09,Connecticut,30.6,8.3,93.473304078,16.966343073,172986.0,6.0154899231,82.73249,2651.0,169182.0,33156.0,5.1026058632,40972.0,6480.3801555,218:1,457.73280000000005,16504.0,1152:1,3130.0,86.80948,80471.0,4.164165542,2.8670010089,0.7549975279,1.8427425321,-72.72640133170552,41.62015647432958,3570549,79855
10,Delaware,33.8,7.8,79.182340891,15.575435958,53437.0,6.8693301384,73.75043000000001,2922.0,151272.0,34397.0,4.3978253917,14693.0,8590.161112,309:1,324.13717,3301.0,2181:1,467.0,45.85643,22430.0,4.5159134104,3.2705036725,0.5566712944,1.624186222,-75.50028053659143,38.992048077960675,967679,69110
11,District of Columbia,24.5,8.5,100.0,24.194508728,20443.0,3.7267748804,128.79636,3273.0,226254.0,34391.0,6.5788723794,9658.0,8975.9560193,145:1,688.29702,4624.0,775:1,867.0,129.05569,18174.0,4.6791605626,2.7298877935,0.7110525312,3.6281021835,-77.01629349042506,38.904781649962125,701974,90842
12,Florida,28.3,7.2,87.47154995,17.180965401,2534999.0,15.098286609,73.01275,3035.0,134680.0,29173.0,4.6165975388,314112.0,8299.1302464,486:1,205.74675000000002,45768.0,1563:1,14229.0,63.96544000000001,313268.0,2.9107877398,2.9693980909,0.8365573679,2.9721427027,-82.49767439927712,28.620414890184662,21216924,57703
13,Georgia,34.2,6.4,74.133655741,16.605268433,1311686.0,14.76855778,65.93782999999999,3076.0,142334.0,29355.0,4.8487140181,160570.0,8920.9304126,559:1,178.97207,19531.0,1856:1,5880.0,53.881299999999996,159191.0,3.0413091207,3.5515620412,0.7650906661,2.1880992568,-83.44596471516927,32.64909289033708,10516579,61224
