state,Median_Household_Income
Alabama,54943
Alaska,80287
Arizona,65913
Arkansas,52123
California,84097
Colorado,80184
Connecticut,83572
Delaware,72724
District of Columbia,93547
Florida,61777
Georgia,65030
Hawaii,88005
Idaho,63377
Illinois,72563
Indiana,61944
Iowa,65429
Kansas,64521
Kentucky,55454
Louisiana,53571
Maine,63182
Maryland,91431
Massachusetts,89026
Michigan,63202
Minnesota,77706
Mississippi,49111
Missouri,61043
Montana,60560
Nebraska,66644
Nevada,65686
New Hampshire,83449
New Jersey,89703
New Mexico,54020
New York,75157
North Carolina,60516
North Dakota,68131
Ohio,61938
Oklahoma,56956
Oregon,70084
Pennsylvania,67587
Rhode Island,74489
South Carolina,58234
South Dakota,63920
Tennessee,58516
Texas,67321
Utah,79133
Vermont,67674
Virginia,80615
Washington,82400
West Virginia,50884
Wisconsin,67080
Wyoming,68002
Puerto Rico,21967
